"","x"
"(Intercept)",0.66594577063672
"conductivity",0.27643385108974
"pH",0.498289264868558
"water_temp",0.394080769649312
"water_depth",0.675617109146172
"colour",0.376123401546492
"chla",0.340608780473048
"lake_area",0.329136608679098
"Tavg",0.541365552828607
"precip",0.57349965131927
"human",0.700802582009975
"forest",0.367444663618699
